xx 2000 IAU Theory of Nutation (106 term) (Sorted for largest A terms)
xx   a2  a3  a4  a5      A       B       C       D    E    F         #  all are 0.0001"
  0   0   0   0   1 -171996     -84.2  92025    8.9  5173.2 1529.9   1
 0  0  0 -2  1      -5     0      3   0     51
 0  0  2  2  1      -5     0      3   0     52
 0 -2  2 -2  1      -4     0      2   0      5
 0  0  0  1  0      -4     0      0   0     54
 0  1  0 -2  0      -4     0      0   0     55
 2  0  2  0  1      -4     0      2   0     58
-2  0  2  0  2      -3     0      2   0      6
 1  0  0 -1  0      -3     0      0   0     23
 1  1  0  0  0      -3     0      0   0     60
 1 -1  2  0  2      -3     0      0   0     61
 1 -1  0 -1  0      -2     0      0   0      7
-2  0  0  0  1      -2     0      0   0     62
-1  0  2 -2  1      -2     0      0   0     63
-1 -1  2  2  2      -2     0      0   0     65
 0 -1  2  2  2      -2     0      0   0     66
 1  0  0  0  2      -2     0      0   0     67
 3  0  2  0  2      -2     0      0   0     69
 0  1  2  0  2       7     0     -3   0     45
 1  0  0  2  0       6     0      0   0     46
 2  0  2 -2  2       6     0     -2   0     50
 1  0  2 -2  1       5     0     -3   0     53
 2  0  0 -2  1       4     0     -2   0     21
 1 -1  0  0  0       4     0      0   0     56
 1  0 -2  0  0       4     0      0   0     57
 0  1  2 -2  1       3     0     -2   0     22
 1  0  2  0  0       3     0      0   0     58
 2  0  0  0  1       2     0      0   0     64
 1  1  2  0  2       2     0      0   0     68
